Date,M2SL,M1SL,M2SL_Percent,M1SL_Percent
1959-01-01,286.6,138.9,,
1959-02-01,287.7,139.4,,
1959-03-01,289.2,139.7,,
1959-04-01,290.1,139.7,,
1959-05-01,292.2,140.7,,
1959-06-01,294.1,141.2,,
1959-07-01,295.2,141.7,,
1959-08-01,296.4,141.9,,
1959-09-01,296.7,141.0,,
1959-10-01,296.5,140.5,,
1959-11-01,297.1,140.4,,
1959-12-01,297.8,139.9,,
1960-01-01,298.2,140.0,4.05,0.79
1960-02-01,298.4,139.9,3.72,0.36
1960-03-01,299.3,139.8,3.49,0.07
1960-04-01,300.1,139.6,3.45,-0.07
1960-05-01,300.9,139.6,2.98,-0.78
1960-06-01,302.3,139.6,2.79,-1.13
1960-07-01,304.1,140.2,3.01,-1.06
1960-08-01,306.9,141.3,3.54,-0.42
1960-09-01,308.4,141.2,3.94,0.14
1960-10-01,309.5,140.9,4.38,0.28
1960-11-01,310.9,140.9,4.64,0.36
1960-12-01,312.4,140.7,4.90,0.57
1961-01-01,314.1,141.1,5.33,0.79
1961-02-01,316.5,141.6,6.07,1.22
1961-03-01,318.3,141.9,6.35,1.50
1961-04-01,319.9,142.1,6.60,1.79
1961-05-01,322.2,142.7,7.08,2.22
1961-06-01,324.3,142.9,7.28,2.36
1961-07-01,325.6,142.9,7.07,1.93
1961-08-01,327.6,143.5,6.74,1.56
1961-09-01,329.5,143.8,6.84,1.84
1961-10-01,331.1,144.1,6.98,2.27
1961-11-01,333.4,144.8,7.24,2.77
1961-12-01,335.5,145.2,7.39,3.20
1962-01-01,337.5,145.2,7.45,2.91
1962-02-01,340.1,145.7,7.46,2.90
1962-03-01,343.1,146.0,7.79,2.89
1962-04-01,345.5,146.4,8.00,3.03
1962-05-01,347.5,146.8,7.85,2.87
1962-06-01,349.3,146.6,7.71,2.59
1962-07-01,350.8,146.5,7.74,2.52
1962-08-01,352.8,146.6,7.69,2.16
1962-09-01,354.9,146.3,7.71,1.74
1962-10-01,357.2,146.7,7.88,1.80
1962-11-01,359.8,147.3,7.92,1.73
1962-12-01,362.7,147.8,8.11,1.79
1963-01-01,365.2,148.3,8.21,2.13
1963-02-01,367.9,148.9,8.17,2.20
1963-03-01,370.7,149.2,8.04,2.19
1963-04-01,373.3,149.7,8.05,2.25
1963-05-01,376.1,150.4,8.23,2.45
1963-06-01,378.4,150.4,8.33,2.59
1963-07-01,381.1,151.3,8.64,3.28
1963-08-01,383.6,151.8,8.73,3.55
1963-09-01,386.0,152.0,8.76,3.90
1963-10-01,388.3,152.6,8.71,4.02
1963-11-01,391.5,153.6,8.81,4.28
1963-12-01,393.2,153.3,8.41,3.72
1964-01-01,395.2,153.7,8.21,3.64
1964-02-01,397.6,154.3,8.07,3.63
1964-03-01,399.8,154.5,7.85,3.55
1964-04-01,401.7,154.8,7.61,3.41
