Year,S_P_500,Three_month_T_Bill,US_T_Bond,Baa_Corporate_Bond
1928,43.81,3.08,0.84,3.22
1929,-8.3,3.16,4.2,3.02
1930,-25.12,4.55,4.54,0.54
1931,-43.84,2.31,-2.56,-15.68
1932,-8.64,1.07,8.79,23.59
1933,49.98,0.96,1.86,12.97
1934,-1.19,0.28,7.96,18.82
1935,46.74,0.17,4.47,13.31
1936,31.94,0.17,5.02,11.38
1937,-35.34,0.28,1.38,-4.42
1938,29.28,0.07,4.21,9.24
1939,-1.1,0.05,4.41,7.98
1940,-10.67,0.04,5.4,8.65
1941,-12.77,0.13,-2.02,5.01
1942,19.17,0.34,2.29,5.18
1943,25.06,0.38,2.49,8.04
1944,19.03,0.38,2.58,6.57
1945,35.82,0.38,3.8,6.8
1946,-8.43,0.38,3.13,2.51
1947,5.2,0.6,0.92,0.26
1948,5.7,1.05,1.95,3.44
1949,18.3,1.12,4.66,5.38
1950,30.81,1.2,0.43,4.24
1951,23.68,1.52,-0.3,-0.19
1952,18.15,1.72,2.27,4.44
1953,-1.21,1.89,4.14,1.62
1954,52.56,0.94,3.29,6.16
1955,32.6,1.73,-1.34,2.04
1956,7.44,2.63,-2.26,-2.35
1957,-10.46,3.23,6.8,-0.72
1958,43.72,1.77,-2.1,6.43
1959,12.06,3.39,-2.65,1.57
1960,0.34,2.88,11.64,6.66
1961,26.64,2.35,2.06,5.1
1962,-8.81,2.77,5.69,6.5
1963,22.61,3.16,1.68,5.46
1964,16.42,3.55,3.73,5.16
1965,12.4,3.95,0.72,3.19
1966,-9.97,4.86,2.91,-3.45
1967,23.8,4.31,-1.58,0.9
1968,10.81,5.34,3.27,4.85
1969,-8.24,6.67,-5.01,-2.03
1970,3.56,6.39,16.75,5.65
1971,14.22,4.33,9.79,14
1972,18.76,4.07,2.82,11.41
1973,-14.31,7.03,3.66,4.32
1974,-25.9,7.83,1.99,-4.38
1975,37,5.78,3.61,11.05
1976,23.83,4.97,15.98,19.75
1977,-6.98,5.27,1.29,9.95
1978,6.51,7.19,-0.78,3.14
1979,18.52,10.07,0.67,-2.01
1980,31.74,11.43,-2.99,-3.32
1981,-4.7,14.03,8.2,8.46
1982,20.42,10.61,32.81,29.05
1983,22.34,8.61,3.2,16.19
1984,6.15,9.52,13.73,15.62
1985,31.24,7.48,25.71,23.86
1986,18.49,5.98,24.28,21.49
1987,5.81,5.78,-4.96,2.29
1988,16.54,6.67,8.22,15.12
1989,31.48,8.11,17.69,15.79
1990,-3.06,7.49,6.24,6.14
1991,30.23,5.38,15,17.85
1992,7.49,3.43,9.36,12.17
1993,9.97,3,14.21,16.43
1994,1.33,4.25,-8.04,-1.32
1995,37.2,5.49,23.48,20.16
1996,22.68,5.01,1.43,4.79
1997,33.1,5.06,9.94,11.83
1998,28.34,4.78,14.92,7.95
1999,20.89,4.64,-8.25,0.84
2000,-9.03,5.82,16.66,9.33
2001,-11.85,3.39,5.57,7.82
2002,-21.97,1.6,15.12,12.18
2003,28.36,1.01,0.38,13.53
2004,10.74,1.37,4.49,9.89
2005,4.83,3.15,2.87,4.92
2006,15.61,4.73,1.96,7.05
2007,5.48,4.35,10.21,3.15
2008,-36.55,1.37,20.1,-5.07
2009,25.94,0.15,-11.12,23.33
2010,14.82,0.14,8.46,8.35
2011,2.1,0.05,16.04,12.58
2012,15.89,0.09,2.97,10.12
2013,32.15,0.06,-9.1,-1.06
2014,13.52,0.03,10.75,10.38
2015,1.38,0.05,1.28,-0.7
2016,11.77,0.32,0.69,10.37
2017,21.61,0.93,2.8,9.72
2018,-4.23,1.94,-0.02,-2.76
2019,31.21,1.55,9.64,15.33
2020,18.01,0.09,11.33,10.41
