DATE,Dollar
2021-08-13,113.337
2021-08-12,113.5594
2021-08-11,113.5692
2021-08-10,113.7842
2021-08-09,113.7412
2021-08-06,113.594
2021-08-05,113.0441
2021-08-04,113.1738
2021-08-03,113.0927
2021-08-02,112.9353
2021-07-30,112.9415
2021-07-29,112.7446
2021-07-28,113.4514
2021-07-27,113.4836
2021-07-26,113.499
2021-07-23,113.7272
2021-07-22,113.7583
2021-07-21,113.6826
2021-07-20,114.0437
2021-07-19,113.8301
2021-07-16,113.3233
2021-07-15,113.2859
2021-07-14,113.1537
2021-07-13,113.2899
2021-07-12,113.0385
2021-07-09,113.12
2021-07-08,113.3602
2021-07-07,113.4002
2021-07-06,113.2447
2021-07-02,112.8352
2021-07-01,113.0361
2021-06-30,112.8458
2021-06-29,112.5359
2021-06-28,112.2977
2021-06-25,112.2401
2021-06-24,112.5972
2021-06-23,112.6483
2021-06-22,113.1898
2021-06-21,113.1156
2021-06-18,113.3338
2021-06-17,112.865
2021-06-16,111.3923
2021-06-15,111.6357
2021-06-14,111.2451
2021-06-11,111.3778
2021-06-10,110.8153
2021-06-09,110.8415
2021-06-08,110.9145
2021-06-07,110.7733
2021-06-04,111.0165
2021-06-03,111.4565
2021-06-02,110.8458
2021-06-01,110.7742
2021-05-28,111.0328
2021-05-27,111.1401
2021-05-26,111.1343
2021-05-25,111.0967
2021-05-24,111.1643
2021-05-21,111.3116
2021-05-20,111.1039
2021-05-19,111.1253
2021-05-18,111.0794
2021-05-17,111.3277
2021-05-14,111.3976
2021-05-13,111.8665
2021-05-12,111.8296
2021-05-11,111.1432
2021-05-10,111.0522
2021-05-07,111.2857
2021-05-06,112.1162
2021-05-05,112.4315
2021-05-04,112.5783
2021-05-03,112.2829
2021-04-30,112.3765
2021-04-29,112.0222
2021-04-28,112.0658
2021-04-27,112.1862
2021-04-26,112.0805
2021-04-23,112.3566
2021-04-22,112.5029
2021-04-21,112.4472
2021-04-20,112.5009
2021-04-19,112.4497
2021-04-16,112.7637
2021-04-15,112.9025
2021-04-14,113.0666
2021-04-13,113.3255
2021-04-12,113.4737
2021-04-09,113.4969
2021-04-08,113.3783
2021-04-07,113.539
2021-04-06,113.4387
2021-04-05,113.6831
2021-04-02,114.0361
2021-04-01,114.0409
2021-03-31,114.1322
2021-03-30,114.5102
2021-03-29,114.2298
2021-03-26,114.0365
2021-03-25,114.2962
2021-03-24,113.9455
2021-03-23,113.5714
2021-03-22,113.2841
2021-03-19,113.2534
2021-03-18,113.0517
2021-03-17,113.4499
2021-03-16,113.2713
2021-03-15,113.4853
2021-03-12,113.3063
2021-03-11,113.1968
2021-03-10,113.8724
2021-03-09,114.2238
2021-03-08,114.571
2021-03-05,114.0559
2021-03-04,112.9834
2021-03-03,113.0483
2021-03-02,112.813
2021-03-01,112.8068
2021-02-26,113.1068
2021-02-25,112.1838
2021-02-24,111.978
2021-02-23,112.151
2021-02-22,112.1721
2021-02-19,111.9693
2021-02-18,112.4323
2021-02-17,112.3023
2021-02-16,112.066
2021-02-12,111.7576
2021-02-11,111.7958
2021-02-10,111.8468
2021-02-09,112.0351
2021-02-08,112.3134
2021-02-05,112.5117
2021-02-04,113.0323
2021-02-03,112.5379
2021-02-02,112.5706
2021-02-01,112.6987
2021-01-29,112.2242
2021-01-28,112.2713
2021-01-27,112.342
2021-01-26,111.9104
2021-01-25,112.1316
2021-01-22,111.8095
2021-01-21,111.4557
2021-01-19,111.7092
2021-01-15,111.7679
2021-01-14,111.4001
2021-01-13,111.6127
2021-01-12,111.809
2021-01-11,112.0953
2021-01-08,111.5446
2021-01-07,111.5648
2021-01-06,111.1049
2021-01-05,111.2061
2021-01-04,111.4676
2020-12-31,111.5527
2020-12-30,111.5467
2020-12-29,111.7571
2020-12-28,112.231
2020-12-23,112.2227
2020-12-22,112.4409
2020-12-21,112.1827
2020-12-18,111.8389
2020-12-17,111.4428
2020-12-16,111.9528
2020-12-15,112.1023
2020-12-14,112.4228
2020-12-11,112.3878
2020-12-10,112.2216
2020-12-09,112.2757
2020-12-08,112.1023
