Date,Price,21
1871.01,96.47,
1871.02,94.87,
1871.03,95.77,
1871.04,102.20,
1871.05,107.23,
1871.06,108.02,
1871.07,106.00,
1871.08,109.07,
1871.09,107.62,
1871.1,100.49,
1871.11,101.59,
1871.12,101.43,
1872.01,104.00,
1872.02,104.43,
1872.03,106.26,
1872.04,106.83,
1872.05,106.83,
1872.06,106.58,
1872.07,107.52,
1872.08,105.48,
1872.09,102.84,
1872.1,105.56,
1872.11,102.09,
1872.12,106.10,
1873.01,106.94,
1873.02,105.45,
1873.03,104.63,
1873.04,103.20,
1873.05,105.69,
1873.06,107.38,
1873.07,107.16,
1873.08,107.16,
1873.09,98.97,
1873.1,92.45,
1873.11,91.99,
1873.12,98.28,
1874.01,102.02,
1874.02,105.09,
1874.03,103.56,
1874.04,102.28,
1874.05,100.40,
1874.06,102.37,
1874.07,101.55,
1874.08,102.60,
1874.09,104.21,
1874.1,105.68,
1874.11,107.50,
1874.12,106.79,
1875.01,106.79,
1875.02,106.55,
1875.03,107.97,
1875.04,108.48,
1875.05,106.91,
1875.06,106.55,
1875.07,106.79,
1875.08,106.37,
1875.09,106.31,
1875.1,104.60,
1875.11,107.22,
1875.12,108.15,
1876.01,111.35,
1876.02,112.85,
1876.03,112.60,
1876.04,109.31,
1876.05,109.15,
1876.06,111.43,
1876.07,110.09,
1876.08,104.54,
1876.09,97.24,
1876.1,94.96,
1876.11,92.31,
1876.12,90.17,
1877.01,87.86,
1877.02,84.88,
1877.03,84.32,
1877.04,76.07,
1877.05,74.71,
1877.06,73.30,
1877.07,75.81,
1877.08,84.28,
1877.09,90.41,
1877.1,92.36,
1877.11,92.78,
1877.12,92.50,
1878.01,95.36,
1878.02,94.28,
1878.03,98.10,
1878.04,101.91,
1878.05,105.62,
1878.06,110.29,
1878.07,111.29,
1878.08,109.10,
1878.09,111.32,
1878.1,111.29,
1878.11,112.23,
1878.12,114.18,
1879.01,117.12,
1879.02,119.99,
1879.03,119.41,
1879.04,124.77,
1879.05,130.39,
1879.06,132.60,
1879.07,133.70,
1879.08,134.70,
1879.09,134.95,
1879.1,141.70,
1879.11,141.73,
1879.12,137.29,
1880.01,138.51,
1880.02,140.95,
1880.03,142.31,
1880.04,144.54,
1880.05,137.13,
1880.06,140.55,
1880.07,147.00,
1880.08,152.29,
1880.09,150.44,
1880.1,154.80,
1880.11,161.28,
1880.12,166.22,
1881.01,177.96,
1881.02,175.61,
1881.03,177.60,
1881.04,175.28,
1881.05,185.00,
1881.06,187.28,
1881.07,178.94,
1881.08,171.32,
1881.09,166.25,
1881.1,162.07,
1881.11,164.65,
1881.12,159.86,
1882.01,157.47,
1882.02,152.59,
1882.03,152.32,
1882.04,150.92,
1882.05,147.74,
1882.06,145.64,
1882.07,155.25,
1882.08,158.46,
1882.09,164.45,
1882.1,161.46,
1882.11,156.00,
1882.12,158.30,
1883.01,157.49,
1883.02,152.51,
1883.03,155.86,
1883.04,160.64,
1883.05,159.44,
1883.06,165.65,
1883.07,166.41,
1883.08,158.86,
1883.09,162.26,
1883.1,157.86,
1883.11,161.88,
1883.12,156.69,
1884.01,151.99,
1884.02,156.10,
1884.03,155.51,
1884.04,151.60,
1884.05,142.31,
1884.06,136.49,
1884.07,137.98,
1884.08,146.64,
1884.09,143.56,
1884.1,140.41,
1884.11,140.69,
1884.12,141.98,
1885.01,138.71,
1885.02,141.34,
1885.03,144.96,
1885.04,142.96,
1885.05,144.65,
1885.06,147.45,
1885.07,151.12,
1885.08,159.59,
1885.09,159.45,
1885.1,168.71,
1885.11,177.55,
1885.12,172.09,
1886.01,176.19,
1886.02,179.58,
1886.03,177.97,
1886.04,177.71,
1886.05,178.60,
1886.06,189.14,
1886.07,189.63,
1886.08,188.69,
1886.09,193.61,
1886.1,198.53,
1886.11,203.45,
1886.12,195.76,
1887.01,189.07,
1887.02,185.50,
1887.03,189.86,
1887.04,194.21,
1887.05,197.56,
1887.06,194.15,
1887.07,191.69,
1887.08,184.66,
1887.09,184.49,
1887.1,176.19,
1887.11,177.47,
1887.12,172.41,
1888.01,171.74,
1888.02,172.73,
1888.03,166.19,
1888.04,168.78,
1888.05,173.11,
1888.06,169.75,
1888.07,172.11,
1888.08,175.79,
1888.09,180.15,
1888.1,177.06,
1888.11,171.42,
1888.12,168.15,
1889.01,177.55,
1889.02,181.74,
1889.03,180.14,
1889.04,179.79,
1889.05,189.27,
1889.06,192.47,
1889.07,188.56,
1889.08,191.05,
1889.09,193.26,
1889.1,189.74,
1889.11,187.99,
1889.12,184.65,
1890.01,191.40,
1890.02,189.27,
1890.03,187.85,
1890.04,191.76,
1890.05,197.48,
1890.06,196.07,
1890.07,194.66,
1890.08,183.31,
1890.09,178.14,
1890.1,170.10,
1890.11,161.51,
1890.12,157.74,
1891.01,167.99,
1891.02,168.03,
1891.03,162.98,
1891.04,166.42,
1891.05,167.72,
1891.06,168.34,
1891.07,167.61,
1891.08,173.23,
1891.09,189.63,
1891.1,189.63,
1891.11,189.14,
1891.12,194.91,
1892.01,203.67,
1892.02,204.04,
1892.03,211.76,
1892.04,214.23,
1892.05,214.23,
1892.06,213.08,
1892.07,207.47,
1892.08,207.73,
1892.09,202.56,
1892.1,206.62,
1892.11,200.67,
1892.12,196.03,
1893.01,192.37,
1893.02,186.70,
1893.03,184.31,
1893.04,186.58,
1893.05,172.19,
1893.06,168.22,
1893.07,156.54,
1893.08,159.07,
1893.09,163.65,
1893.1,166.33,
1893.11,173.43,
1893.12,169.62,
1894.01,170.77,
1894.02,175.58,
1894.03,186.03,
1894.04,188.51,
1894.05,181.49,
1894.06,179.02,
1894.07,175.31,
1894.08,176.78,
1894.09,177.10,
1894.1,176.46,
1894.11,176.46,
1894.12,177.37,
1895.01,175.31,
1895.02,172.83,
1895.03,172.83,
1895.04,172.75,
1895.05,179.74,
1895.06,180.77,
1895.07,184.03,
1895.08,189.35,
1895.09,190.54,
1895.1,187.77,
1895.11,181.44,
1895.12,173.18,
1896.01,173.62,
1896.02,183.56,
1896.03,180.67,
1896.04,185.00,
1896.05,186.91,
1896.06,186.29,
1896.07,174.22,
1896.08,164.30,
1896.09,172.93,
1896.1,171.61,
